,entry_percentile,sigma_mult,otm_pts,long_dte_weeks,total_return,cagr,max_dd,win_rate,trades,avg_trade_dur,score
136,0.7,0.8,1,5,27.480788708359185,0.16459211357218684,0,0.9950124688279302,401,1.0822942643391522,0.5886904761904762
137,0.7,0.8,2,3,27.476089029286992,0.16458337015194968,0,0.8820638820638821,407,1.0343980343980343,0.5875
138,0.3,1,1,26,3.6559153112084886,0.0724830372812193,-0.00776762756284733,1,197,1.50253807106599,0.5869047619047619
139,0.7,1,2,3,27.42275302141669,0.16448404565417118,0,0.9777227722772277,404,1.0495049504950495,0.5863095238095238
140,0.7,1,3,3,27.415412504803747,0.1644703619185166,0,0.8924205378973105,409,1.039119804400978,0.5851190476190476
141,0.7,0.8,3,5,27.35334353481666,0.16435452172360265,0,0.9678217821782178,404,1.0445544554455446,0.5839285714285715
142,0.7,0.5,5,15,27.322318511824022,0.16429652852261145,0,0.8829268292682927,410,1.026829268292683,0.5827380952380952
143,0.7,0.8,3,3,27.23186549304125,0.1641271034009002,0,0.7031630170316302,411,1.024330900243309,0.581547619047619
144,0.7,0.5,3,5,27.22972981100227,0.16412309685416648,0,0.6058394160583942,411,1.0145985401459854,0.5803571428571428
145,0.7,0.5,2,3,27.194682151798794,0.16405730596229984,0,0.5878048780487805,410,1.0170731707317073,0.5791666666666666
146,0.7,1,4,5,26.965528368429005,0.1636252086474379,0,0.9900744416873449,403,1.0595533498759304,0.5779761904761904
147,0.7,1,4,3,26.955895974588973,0.16360697167096405,0,0.6982968369829684,411,1.0145985401459854,0.5767857142857142
148,0.7,0.8,4,5,26.937912958220146,0.1635729084340365,0,0.8553921568627451,408,1.036764705882353,0.575595238095238
149,0.7,1,5,5,26.884491790055574,0.16347159506119557,0,0.9287469287469288,407,1.0442260442260443,0.5744047619047619
150,0.7,0.8,5,5,26.85245325056867,0.16341074498402475,0,0.6618004866180048,411,1.0291970802919708,0.5732142857142857
151,0.7,0.5,3,3,26.85165920751354,0.16340923602762758,0,0.37530266343825663,413,1.0072639225181599,0.5720238095238095
152,0.7,1,5,3,26.69056851150342,0.1631022555950381,0,0.5399515738498789,413,1.0169491525423728,0.5708333333333333
153,0.3,0.8,1,26,5.831261295745971,0.09135249388336586,-0.0036199165855122155,1,212,1.3160377358490567,0.5702380952380952
154,0.7,0.5,5,5,26.616099374477507,0.16295976785667077,0,0.2753623188405797,414,1.0120772946859904,0.5696428571428571
155,0.7,0.8,4,3,26.59393238917208,0.16291728315954357,0,0.5109489051094891,411,1.0145985401459854,0.5684523809523809
156,0.7,1,1,3,26.54425147113284,0.16282194749364387,0,0.9849246231155779,398,1.0829145728643217,0.5672619047619047
157,0.7,0.8,5,3,26.47511281111047,0.1626889997044476,0,0.35351089588377727,413,1.0121065375302662,0.5660714285714286
